evaluation_set,chunker,noise_level,metric,clean_value,noisy_value,absolute_degradation,relative_degradation_percent
primary,semantic,mild,hit_at_5,0.7594607379375591,0.7601702932828761,-0.0007095553453170256,-0.09342883836812159
primary,semantic,mild,mrr_at_100,0.631357344857953,0.6304405435339503,0.0009168013240027362,0.1452111599666278
primary,semantic,moderate,hit_at_1,0.5260170293282876,0.4985808893093661,0.02743614001892153,5.215827338129507
primary,semantic,moderate,hit_at_5,0.7594607379375591,0.739120151371807,0.020340586565752106,2.678293366552473
primary,semantic,moderate,mrr_at_100,0.631357344857953,0.6060619687545543,0.025295376103398715,4.0065069820467265
primary,semantic,severe,hit_at_1,0.5260170293282876,0.4771759697256386,0.04884105960264906,9.285071942446052
primary,semantic,severe,hit_at_5,0.7594607379375591,0.7112109744560076,0.04824976348155152,6.353161009031449
primary,semantic,severe,mrr_at_100,0.631357344857953,0.5844874434765969,0.04686990138135616,7.423672467436213
primary,structure,mild,hit_at_1,0.5322847682119205,0.5011825922421949,0.031102175969725643,5.843145967562765
primary,structure,mild,hit_at_5,0.7653736991485336,0.7390018921475875,0.0263718070009461,3.445611866501858
primary,structure,mild,mrr_at_100,0.6354267592848858,0.6089832374974773,0.026443521787408497,4.161537329206633
primary,structure,moderate,hit_at_1,0.5322847682119205,0.48379848628193,0.04848628192999049,9.109086869584528
primary,structure,moderate,hit_at_5,0.7653736991485336,0.7236281929990539,0.041745506149479694,5.454264524103837
primary,structure,moderate,mrr_at_100,0.6354267592848858,0.5923182265873101,0.04310853269757564,6.784185914060389
primary,structure,severe,hit_at_1,0.5322847682119205,0.47090823084200567,0.06137653736991483,11.530770939791154
primary,structure,severe,hit_at_5,0.7653736991485336,0.7077814569536424,0.05759224219489123,7.524721878862798
primary,structure,severe,mrr_at_100,0.6354267592848858,0.577620361579281,0.057806397705604806,9.097255798710865
context_verified,fixed,mild,hit_at_1,0.5133598635588402,0.49971574758385445,0.013644115974985771,2.6578073089700966
context_verified,fixed,mild,hit_at_5,0.7388667803676331,0.7324237256016676,0.006443054765965517,0.8720184662734043
context_verified,fixed,mild,mrr_at_100,0.6166912138253591,0.6045272971266049,0.012163916698754162,1.972448516543786
context_verified,fixed,moderate,hit_at_1,0.5133598635588402,0.48493462194428655,0.028425241614553676,5.537098560354365
context_verified,fixed,moderate,hit_at_5,0.7388667803676331,0.7208641273450824,0.018002653022550663,2.4365221851756824
context_verified,fixed,moderate,mrr_at_100,0.6166912138253591,0.5914533738798265,0.025237839945532525,4.092459788583859
context_verified,fixed,severe,hit_at_1,0.5133598635588402,0.46560545764639,0.047754405912450226,9.302325581395342
context_verified,fixed,severe,hit_at_5,0.7388667803676331,0.7011559598256585,0.03771082054197461,5.103872787894333
context_verified,fixed,severe,mrr_at_100,0.6166912138253591,0.5738613465524165,0.04282986727294258,6.945107423740851
context_verified,recursive,mild,hit_at_1,0.5152548796664772,0.4917566799317794,0.0234981997346978,4.560500183891147
context_verified,recursive,mild,hit_at_5,0.7462573431874171,0.7301497062725033,0.016107636914913792,2.158456069070596
context_verified,recursive,mild,mrr_at_100,0.6201189925084537,0.5995109503396273,0.02060804216882639,3.323239961650659
context_verified,recursive,moderate,hit_at_1,0.5152548796664772,0.47849156717832103,0.036763312488156175,7.1349760941522655
context_verified,recursive,moderate,hit_at_5,0.7462573431874171,0.7127155580822437,0.03354178510517336,4.4946673438293505
context_verified,recursive,moderate,mrr_at_100,0.6201189925084537,0.5846181476583399,0.035500844850113844,5.7248439862338
context_verified,recursive,severe,hit_at_1,0.5152548796664772,0.45802539321584235,0.05722948645063486,11.107024641412288
context_verified,recursive,severe,hit_at_5,0.7462573431874171,0.697176425999621,0.04908091718779606,6.576942610462158
context_verified,recursive,severe,mrr_at_100,0.6201189925084537,0.5653258317620287,0.05479316074642504,8.835910753963576
context_verified,semantic,mild,hit_at_1,0.50615880234982,0.5101383361758575,-0.00397953382603744,-0.7862223886184788
context_verified,semantic,mild,hit_at_5,0.7390562819783968,0.743225317415198,-0.0041690354368012494,-0.5641025641025691
context_verified,semantic,mild,mrr_at_100,0.6123275709526089,0.612667699514675,-0.000340128562066111,-0.0555468311735444
context_verified,semantic,moderate,hit_at_1,0.50615880234982,0.4824711010043585,0.023687701345461498,4.679895170348196
