evaluation_set,statistic,chunker,noise_level,metric,estimate,ci_95_low,ci_95_high,bootstrap_iterations,seed
context_verified,mean,fixed,clean,hit_at_1,0.5133598446846008,0.5004737377166748,0.5266249775886536,5000,20260913
context_verified,mean,fixed,clean,hit_at_5,0.7388668060302734,0.7274966835975647,0.7506158947944641,5000,20260913
context_verified,mean,fixed,clean,mrr_at_100,0.6166912317276001,0.6061402007937431,0.6277153670787812,5000,20260913
context_verified,mean,fixed,mild,hit_at_1,0.49971574544906616,0.48626112937927246,0.5129856154322624,5000,20260913
context_verified,mean,fixed,mild,hit_at_5,0.732423722743988,0.7204851508140564,0.7445518374443054,5000,20260913
context_verified,mean,fixed,mild,mrr_at_100,0.6045272946357727,0.593310059607029,0.6158762857317924,5000,20260913
context_verified,mean,fixed,moderate,hit_at_1,0.48493462800979614,0.47148001194000244,0.4985787272453308,5000,20260913
context_verified,mean,fixed,moderate,hit_at_5,0.7208641171455383,0.7091150283813477,0.7331817150115967,5000,20260913
context_verified,mean,fixed,moderate,mrr_at_100,0.5914534330368042,0.580089022219181,0.6029788658022881,5000,20260913
context_verified,mean,fixed,severe,hit_at_1,0.4656054675579071,0.45196133852005005,0.4792495667934418,5000,20260913
context_verified,mean,fixed,severe,hit_at_5,0.701155960559845,0.6888383626937866,0.7134735584259033,5000,20260913
context_verified,mean,fixed,severe,mrr_at_100,0.5738613605499268,0.5625922784209252,0.5853110820055007,5000,20260913
context_verified,mean,recursive,clean,hit_at_1,0.5152548551559448,0.5019897818565369,0.5288990139961243,5000,20260913
context_verified,mean,recursive,clean,hit_at_5,0.7462573647499084,0.734318733215332,0.7580064535140991,5000,20260913
context_verified,mean,recursive,clean,mrr_at_100,0.6201189160346985,0.6090327292680741,0.631688603758812,5000,20260913
context_verified,mean,recursive,mild,hit_at_1,0.4917566776275635,0.4783020615577698,0.5052112936973572,5000,20260913
context_verified,mean,recursive,mild,hit_at_5,0.7301496863365173,0.7182111144065857,0.7420930549502373,5000,20260913
context_verified,mean,recursive,mild,mrr_at_100,0.5995109677314758,0.5884191706776619,0.6106751576066017,5000,20260913
context_verified,mean,recursive,moderate,hit_at_1,0.47849157452583313,0.46503695845603943,0.4921404115855693,5000,20260913
context_verified,mean,recursive,moderate,hit_at_5,0.7127155661582947,0.7005874514579773,0.7248436808586121,5000,20260913
context_verified,mean,recursive,moderate,mrr_at_100,0.5846181511878967,0.573450343310833,0.5961766317486763,5000,20260913
context_verified,mean,recursive,severe,hit_at_1,0.45802539587020874,0.44457077980041504,0.4716742329299449,5000,20260913
context_verified,mean,recursive,severe,hit_at_5,0.6971763968467712,0.6848587989807129,0.7093045115470886,5000,20260913
