evaluation_set,statistic,chunker,noise_level,metric,estimate,ci_95_low,ci_95_high,bootstrap_iterations,seed
context_verified,absolute_degradation,recursive,moderate,mrr_at_100,0.03550076484680176,0.026011502742767333,0.04525931924581528,5000,20260913
context_verified,absolute_degradation,recursive,severe,hit_at_1,0.057229459285736084,0.04415386915206909,0.0704946219921112,5000,20260913
context_verified,absolute_degradation,recursive,severe,hit_at_5,0.04908096790313721,0.037900328636169434,0.06045097261667252,5000,20260913
context_verified,absolute_degradation,recursive,severe,mrr_at_100,0.05479305982589722,0.044945047795772554,0.06484485864639282,5000,20260913
context_verified,absolute_degradation,semantic,mild,hit_at_1,-0.003979504108428955,-0.015354392677545545,0.00739055871963501,5000,20260913
context_verified,absolute_degradation,semantic,mild,hit_at_5,-0.004169046878814697,-0.013075590133666992,0.004737555980682373,5000,20260913
context_verified,absolute_degradation,semantic,mild,mrr_at_100,-0.0003401041030883789,-0.008413748443126678,0.007649801671504969,5000,20260913
context_verified,absolute_degradation,semantic,moderate,hit_at_1,0.02368772029876709,0.011180609464645386,0.036194831132888794,5000,20260913
context_verified,absolute_degradation,semantic,moderate,hit_at_5,0.015349626541137695,0.00492703914642334,0.02577221393585205,5000,20260913
context_verified,absolute_degradation,semantic,moderate,mrr_at_100,0.021314382553100586,0.012251514196395875,0.030090045928955048,5000,20260913
context_verified,absolute_degradation,semantic,severe,hit_at_1,0.04737544059753418,0.03505781292915344,0.05988249182701111,5000,20260913
context_verified,absolute_degradation,semantic,severe,hit_at_5,0.04055333137512207,0.02975177615880966,0.050975918769836426,5000,20260913
context_verified,absolute_degradation,semantic,severe,mrr_at_100,0.043809592723846436,0.03498478680849075,0.052759493887424465,5000,20260913
context_verified,absolute_degradation,structure,mild,hit_at_1,0.02709871530532837,0.014970629662275314,0.03960582613945007,5000,20260913
context_verified,absolute_degradation,structure,mild,hit_at_5,0.0198976993560791,0.010612070560455322,0.029562294483184814,5000,20260913
context_verified,absolute_degradation,structure,mild,mrr_at_100,0.022965431213378906,0.014157208800315856,0.03182270973920822,5000,20260913
context_verified,absolute_degradation,structure,moderate,hit_at_1,0.04339587688446045,0.030505003780126574,0.05703994631767273,5000,20260913
context_verified,absolute_degradation,structure,moderate,hit_at_5,0.03676331043243408,0.026340723037719727,0.04718589782714844,5000,20260913
context_verified,absolute_degradation,structure,moderate,mrr_at_100,0.03902924060821533,0.029807557165622712,0.04848869442939758,5000,20260913
context_verified,absolute_degradation,structure,severe,hit_at_1,0.05400794744491577,0.04093232750892639,0.0672730803489685,5000,20260913
context_verified,absolute_degradation,structure,severe,hit_at_5,0.04718589782714844,0.03600531667470932,0.05817699432373047,5000,20260913
context_verified,absolute_degradation,structure,severe,mrr_at_100,0.0502474308013916,0.040495936572551725,0.05989760905504226,5000,20260913
context_verified,degradation_difference_vs_fixed,recursive,mild,hit_at_1,0.009854083880782127,-0.006064087152481079,0.02634066417813301,5000,20260913
context_verified,degradation_difference_vs_fixed,recursive,mild,hit_at_5,0.009664582088589668,-0.003032030165195465,0.02255070209503174,5000,20260913
